subject,object,original_label
proteins,silver proteins,broader
health personnel,labor coach,broader
occupational groups,librarian,broader
phenotype,genetic pleiotropism,broader
survivors,viremic controllers,broader
neuroglia,astrocyte,broader
passeriformes,songbirds,broader
reoviridae infections,colorado tick fever,broader
metaplasia,pathologic angiogenesis,broader
metalloexopeptidases,cystinaminopeptidase,broader
universal design,user centered design,broader
immunoassay,immunoturbidimetries,broader
supervised machine learning,multiple instance learning,broader
glucosyltransferases,phosphorylases,broader
surgical sponges,absorbable gelatin sponge,broader
phosphoric monoester hydrolases,adp ribose 1'' phosphate phosphatase,broader
immune checkpoint proteins,b7 h1 antigen,broader
food and beverages,fermented foods,broader
pituitary hormone release inhibiting hormones,prolyl leucyl glycinamide,broader
licensure,pharmacy licensure,broader
face,foreheads,broader
retinoids,tretinoin,broader
gene targeting,gene knock downs,broader
steroid hydroxylases,steroid 16 alpha hydroxylase,broader
pest control,rodent control,broader
steroid hydroxylases,21 hydroxylase,broader
enteroendocrine cells,ecl cell,broader
immunoconjugates,toxin antibody conjugates,broader
rhamnaceae,frangula,broader
bones of lower extremity,bones of foot,broader
polyomavirus,sv40 viruses,broader
immune system phenomena,trogocytosis,broader
aneuploidy,trisomy,broader
immunoblotting,western blottings,broader
myelodysplastic syndromes,immunodeficiency type 21,broader
transition elements,cobalt,broader
health personnel,medical examiners and coroners,broader
cellular microenvironment,stem cell niches,broader
planets,triton,broader
cochlea,scala vestibuli,broader
cardiomyopathies,kearn sayre mitochondrial cytopathy,broader
aniline compounds,anilino naphthalenesulfonates,broader
social problems,poverty,broader
musculoskeletal manipulations,orthopedic manipulation,broader
amphetamines,p hydroxyamphetamine,broader
actinomycetales infections,corynebacterium infection,broader
nervous system malformations,corpus callosum hypogeneses,broader
skin diseases,vascular skin diseases,broader
sulfonylurea compounds,aminophenurobutane,broader
mechanical phenomena,flexural property,broader
complement system proteins,complement c8,broader
buffers,carrier ampholyte,broader
dermatitis,dermatitis exfoliatives,broader
communication,social networking,broader
lymphocytes,bursa dependent lymphocytes,broader
bird diseases,rous sarcoma,broader
gyrovirus,chicken anemia viruses,broader
infratentorial neoplasms,brainstem tumor,broader
organotechnetium compounds,99mtc mag3,broader
macrophage inflammatory proteins,mip 4 protein,broader
nephelometry and turbidimetry,immunoturbidimetries,broader
cell cycle proteins,chromosome segregation 1 like protein,broader
multiprotein complexes,cst complex,broader
birds,penguin,broader
solanaceae,horsenettle,broader
vital statistics,death rates,broader
dental materials,dental sealants,broader
schistosomiasis,schistosoma haematobia infection,broader
body temperature regulation,facultative thermogenesis,broader
sulfates,calcium sulfate,broader
cardiovascular physiological phenomena,blood flow,broader
disease,symptom cluster,broader
physician assistants,pediatric assistant,broader
shaker superfamily of potassium channels,shal potassium channels,broader
diagnostic imaging,radiomics,broader
sleep arousal disorders,sleep walking disorder,broader
hospitals,secondary referral center,broader
immunogenetic phenomena,antibody diversities,broader
heart function tests,cardiac outputs,broader
slow virus diseases,aids,broader
cholangitis,primary sclerosing cholangitis,broader
patients,hospitalized children,broader
tachykinins,physalaemin,broader
transcription factors,kruppel like factor,broader
basal ganglia diseases,progressive torsion spasm,broader
parents,host mother,broader
telencephalon,forebrain commissure,broader
aniline compounds,crystal violet,broader
pancreatic diseases,pancreatic cyst,broader
catenins,alphae catenin,broader
north american people,american indians or alaska natives,broader
physiological effects of drugs,antidiabetic drugs,broader
dihydroxyphenylalanine,levodopa,broader
cosmetics,mouth rinses,broader
telomere,cst complex,broader
community health services,adult day care center,broader
g2 phase,g2 cell cycle checkpoints,broader
telencephalic commissures,brain anterior commissure,broader
solanaceae,chili peppers,broader
breathing exercises,qigong,broader
therapeutic irrigation,vaginal irrigation,broader
asparagales,aloeaceae,broader
nucleocytoplasmic transport proteins,chromosome segregation 1 like protein,broader
peroxidases,peroxiredoxins,broader
retroviridae infections,rous sarcoma,broader
leukemia,chronic monocytic leukemia,broader
sapotaceae,pouterias,broader
lymphadenitis,kikuchis disease,broader
chondroitin sulfate proteoglycans,biglycan,broader
cardiac surgical procedures,pericardectomies,broader
satellite viruses,tobacco necrosis virus satellite,broader
limonene hydroxylases,cytochrome p450 pb 1,broader
oxidoreductases acting on aldehyde or oxo group donors,formate dehydrogenase,broader
urogenital abnormalities,crossed fused ectopia,broader
apoptosis regulatory proteins,bim protein,broader
hernia,rectocele,broader
ecological and environmental phenomena,water movements,broader
cytokines,interleukin,broader
asian people,north asian peoples,broader
prenatal diagnosis,amnioscopy,broader
multifunctional enzymes,cyclin dependent kinase 9,broader
lewis blood group antigens,cd15 antigens,broader
health personnel,clinical psychotherapists,broader
arm injuries,humeri fractures,broader
decision theory,decision trees,broader
amino acid motifs,immunoreceptor tyrosine based activation motif,broader
blood physiological phenomena,reticulocytosis,broader
leporipoxvirus,myxoma virus,broader
minerals,calcium sulfate,broader
adam proteins,tnf alpha converting enzyme,broader
alkyl and aryl transferases,propylamine transferase,broader
calcium compounds,calcium sulfate,broader
nucleic acid probes,rna probe,broader
wounds and injuries,hand injuries,broader
rheology,microfluidics,broader
gene expression profiling,single cell gene expression analysis,broader
tannins,hydrolyzable tannins,broader
acetyltransferases,acetyl coenzyme a acetyltransferase,broader
drug combinations,centrin,broader
metabolic diseases,metabolic encephalopathy,broader
wounds and injuries,neck injury,broader
delivery of health care,professional practice gap,broader
organelles,lipid droplets,broader
peritoneum,peritoneal stoma,broader
videoconferencing,webcasts as topics,broader
dna restriction enzymes,type ii site specific dnase,broader
hypertrophy,heart enlargement,broader
retinoids,vesanoid,broader
food,nutriceutical,broader
fatty acids,prostanoic acids,broader
vanadium compounds,vanadates,broader
psychotherapy,sensory feedbacks,broader
polysaccharides,glycosaminoglycans,broader
plantaginaceae,veronicas,broader
patient rights,right to die,broader
ophiostomatales,ophiostoma,broader
physicians,company physician,broader
palaeognathae,struthioniformes,broader
vasculitis,iga vasculitis,broader
orthopoxvirus,monkey pox virus,broader
hypothalamic hormones,pituitary hormone release inhibiting hormones,broader
mucorales,mortierella,broader
therapeutic uses,cardiovascular agent,broader
arthropods,xiphosura,broader
immunoproteins,complement protein,broader
preventive health services,school health service,broader
exercise therapy,blood flow restriction training,broader
physical examination,face expression,broader
alcohols,polyprenols,broader
economics,hospital economic,broader
transcription factors,rho factor,broader
transportation,railroad,broader
protein methyltransferases,histone methyltransferases,broader
computing methodologies,computer program,broader
dentistry,mouth rehabilitations,broader
myocardial infarction,diaphragmatic myocardial infarction,broader
beta lactam antibiotics,third generation cephalosporins,broader
eicosanoids,arachidonic acids,broader
alfamovirus,alfalfa mosaic viruses,broader
biomimetic materials,abiotic receptors,broader
therapeutics,gender change procedures,broader
endocrine surgical procedures,parathyroidectomy,broader
zoonoses,bacterial zoonotic infections,broader
dental health surveys,dental plaque index,broader
diagnostic techniques and procedures,mass screening,broader
wilms tumor,drash syndrome,broader
arylsulfonic acids,picrylsulfonic acid,broader
scleroproteins,extracellular matrix proteins,broader
chromosome disorders,sex chromosome disorders,broader
optical devices,fiber optic cable,broader
central nervous system protozoal infections,congenital toxoplasma infection,broader
repressor proteins,pcg complex protein,broader
togaviridae,group a arbovirus,broader
aminopeptidases,aminopeptidase n,broader
nicotinic acids,3 pyridinecarboxylic acid,broader
reaction time,psychological refractory period,broader
health services,geriatric health services,broader
purpura,iga vasculitis,broader
afferent pathways,spinocerebellar tracts,broader
cell physiological phenomena,organelle biogenesis,broader
religion,religion and science,broader
radiometry,autoradiography,broader
lymphadenitis,eosinophilic hyperplastic lymphogranuloma,broader
psychotherapy,logotherapies,broader
neuropeptides,bombesin,broader
microcomputers,tablet computers,broader
racial groups,american indians or alaska natives,broader
nucleotidyltransferases,udp galactose pyrophosphorylase,broader
joint dislocations,muscle diastases,broader
factitious disorders,munchausen syndrome,broader
lentivirus infections,feline acquired immunodeficiency syndrome,broader
cysts,pancreatic cyst,broader
reproductive techniques,fertility control,broader
interferon regulatory factors,isgf3 gamma subunit,broader
brain diseases,metabolic encephalopathy,broader
hyperlipoproteinemias,mixed hyperlipemias,broader
fatigue,emotional fatigue,broader
hypogonadism,anosmic hypogonadisms,broader
collateral ligaments,tibial collateral ligaments,broader
oxazoles,pemoline,broader
intestinal polyposis,familial polyposis coli,broader
kidney diseases,renal nutcracker syndrome,broader
tissue preservation,tissue fixation,broader
glucosidases,maltase glucoamylase,broader
phosphoprotein phosphatases,pp1c enzyme,broader
epilepsy,traumatic epilepsies,broader
hypotrichosis,female pattern baldness,broader
glycoside hydrolases,galactosidases,broader
rectal diseases,anus prolapse,broader
apocynaceae,tabernaemontaneae,broader
chromosome aberrations,abnormal karyotype,broader
metalloendopeptidases,collagenase,broader
mitosporic fungi,cephalosporium,broader
heymann nephritis antigenic complex,heyman's nephritis antigen gp330,broader
membrane transport modulators,sodium chloride symporter inhibitors,broader
pneumonia,healthcare associated pneumonia,broader
blood vessels,vein,broader
bacillaceae infections,anthrax,broader
interleukins,hematopoietin 2,broader
senior centers,adult day care center,broader
influenza a virus,h7n7 subtypes,broader
filtering surgery,sclerostomies,broader
glioma,astrocytic glioma,broader
gallic acid,hydrolyzable tannins,broader
liver diseases,liver infarctions,broader
ribosome subunits,small ribosome subunit,broader
cytochrome p450 family 2,cytochrome p 450 cyp2d6,broader
urogenital abnormalities,pelvic cake kidney,broader
hemostatic disorders,iga vasculitis,broader
obstetric surgical procedures,amnioscopy,broader
neuronal outgrowth,neuronal pathfinding,broader
ethics committees,hospital ethics committees,broader
wound closure techniques,abdominal wound closure techniques,broader
obsessive behavior,stalking,broader
membrane transport modulators,benzothiadiazine diuretics,broader
lung diseases,pulmonary parasitic infection,broader
neuroendocrine tumors,malignant melanomas,broader
orbital diseases,orbital inflammatory pseudotumors,broader
genes,overlapping genes,broader
endocrine surgical procedures,gonadectomy,broader
peptide hormones,bombesin,broader
american indian or alaska native,indigenous north american,broader
myricaceae,bayberries,broader
demography,place of birth,broader
gold compounds,gold alloys,broader
vascular diseases,optic ischaemic neuropathy,broader
trinitrobenzenes,picrylsulfonic acid,broader
peptides,myocardial depressant factor,broader
peritoneum,sac of douglas,broader
adenomatous polyps,familial polyposis coli,broader
therapeutic uses,radiosensitizing agents,broader
urinary bladder diseases,detrusor underactivity,broader
heart septal defects,aortopulmonary septal defects,broader
plant viruses,tenuivirus,broader
aliivibrio,achromobacter fischeri,broader
embryonic stem cells,embryoid body,broader
syndecans,cd138 antigen,broader
foot deformities,toeing outs,broader
lactams,monobactam,broader
cholecystokinin,syncalide,broader
oligopeptides,99mtc mag3,broader
contusions,heart contusion,broader
hemodynamics,cardiac outputs,broader
dentistry,dental care,broader
psychoanalytic theory,psychology unconscious,broader
forensic medicine,post mortem examination,broader
investigative techniques,end point assay,broader
apraxias,classic apraxias,broader
embryonic structures,mammalian embryo,broader
bronchoalveolar lavage,lung lavage fluids,broader
work,employee participation,broader
orphan nuclear receptors,v erba related protein ear 1,broader
radiography,radiographic magnifications,broader
cytochrome p450 family 11,cytochrome p 450 cyp11b1,broader
basidiomycota,pityrosporum,broader
dental care,dentistry for aged,broader
parasomnias,willis ekbom syndrome,broader
politics,political activism,broader
renewable energy,water movements,broader
dna repair enzymes,muts proteins,broader
cross infection,healthcare associated pneumonia,broader
smoking,ecig use,broader
apocynaceae,stemmadenias,broader
kinetoplastida,trypanosomatinas,broader
metabolic diseases,reaven syndrome x,broader
immune system,tissue basophil,broader
facial bones,nasal concha,broader
head and neck neoplasms,oral neoplasms,broader
trimethoprim,centrin,broader
rehabilitation of speech and language disorders,orofacial myotherapy,broader
imidazoles,fentolamin,broader
gangliosidoses,gm2 gangliosidosis,broader
glycoproteins,alpha 2 hs glycoprotein,broader
diagnostic services,mass screening,broader
ribonucleases,samhd1 dntpase,broader
drug therapy,opioid substitution therapy,broader
neoplasms,metachronous neoplasm,broader
tumor virus infections,rous sarcoma,broader
population groups,white persons,broader
blindness,amaurosis fugax,broader
intestinal diseases,jejunal diseases,broader
immunologic techniques,immunological tests,broader
cerebral hemorrhage,cerebral intraventricular haemorrhages,broader
sulfhydryl compounds,thioglycollates,broader
treatment outcome,sustained viral suppression,broader
chlorine compounds,perchloric acids,broader
orthopoxvirus,mpxv virus,broader
orthopedic procedures,tendon transfer,broader
cranial nerves,statoacoustic nerve,broader
bacterial infections,bacterial zoonose,broader
algorithms,multiple instance learning,broader
aminopeptidases,cystinaminopeptidase,broader
joint diseases,pelvic horn syndrome,broader
myeloproliferative disorders,nonleukemic myelosis,broader
ethanolamines,deanol,broader
dna helicases,atrx protein,broader
cardiovascular agents,anti arrhythmia drugs,broader
health personnel,nurse,broader
saline waters,seawaters,broader
reproductive physiological phenomena,fertility preferences,broader
asparagaceae,yucca,broader
mixed function oxygenases,gamma butyrobetaine hydroxylase,broader
personality development,psychology unconscious,broader
polyethylene glycols,polyethylene glycol cetyl ether,broader
monocyte chemoattractant proteins,monocyte chemoattractant protein 3,broader
diathermy,ultrasound therapy,broader
sense organs,ears,broader
therapeutic irrigation,gastric irrigations,broader
electric stimulation therapy,pulsed radio frequency treatment,broader
demography,nationality,broader
research,concept testing proofs,broader
bacterial infections and mycoses,fungal diseases,broader
poaceae,bamboo grass,broader
software,user centered design,broader
dental materials,luting agents,broader
nucleic acid hybridization,subtractive hybridization technique,broader
lipidoses,cholesteryl ester storage disease,broader
food,meat,broader
hemorrhagic disorders,immune thrombocytopenias,broader
stomatognathic system abnormalities,tooth abnormalities,broader
blood protein disorders,protein c deficiencies,broader
cebidae,cebuella,broader
drug combinations,brimonidine tartrate timolol maleate drug combination,broader
occupational diseases,laboratory infection,broader
ovarian diseases,ovarian hyperstimulation syndrome,broader
neural pathways,mesolimbic system,broader
hair preparations,hair colorants,broader
therapeutics,kidney replacement therapies,broader
poaceae,crab grass,broader
organization and administration,patient identification systems,broader
fabaceae,brooms,broader
psychotherapy,logotherapy,broader
skin neoplasms,malignant melanomas,broader
antitoxins,anti venom,broader
diuretics,sodium chloride symporter inhibitors,broader
skull fractures,jaw fractures,broader
agglutinins,hemagglutinin,broader
sesamoid bones,knee caps,broader
theophylline,isobutyltheophylline,broader
domestic violence,elderly abuses,broader
hematoma,cranial epidural hematomas,broader
emotions,emotional self regulation,broader
hepatitis antibodies,hepatitis a antibodies,broader
dental occlusion,masticatory force,broader
international cooperation,developed countries,broader
benzenesulfonamides,aminophenurobutane,broader
heart diseases,ventricular outflow obstructions,broader
spinal cord,cornu anterius,broader
molecular probe techniques,western blottings,broader
piperaceae,piper,broader
liliaceae,fritillary,broader
health services,health services misuses,broader
therapeutics,conservative therapies,broader
cysts,umbilical cyst,broader
blood coagulation factors,tissue factor procoagulant,broader
agricultural workers' diseases,mesoamerican nephropathy,broader
asparagaceae,solomon seal,broader
time,biological rhythms,broader
education,needs assessment,broader
investigative techniques,post mortem examination,broader
methyltransferases,phenylethanolamine n methyltransferase,broader
salicylates,polopirin,broader
animal experimentation,animal research alternative,broader
olfactory cortex,piriform area,broader
parasitic diseases,pulmonary parasitic infection,broader
electrophoresis,western blottings,broader
review literature as topic,scoping review as topic,broader
alphacoronavirus 1,fecv,broader
accidents,occupational accident,broader
reproductive control agents,infertility effects,broader
acetamides,pyramem,broader
manufactured materials,biomimicry device,broader
spumavirus,chimpanzee foamy virus,broader
digitoxin,desglucolanatosides a,broader
multiprotein complexes,pcg complex protein,broader
haemophilus,haemophilus ducreyi,broader
opportunistic infections,superinfections,broader
invertebrates,mollusks,broader
integrin alpha chains,cd49a antigen,broader
health surveys,mass screening,broader
environment,water movements,broader
foot deformities,in toeing,broader
pelvic organ prolapse,anus prolapse,broader
ubiquitins,autophagy related protein 8 family,broader
aryl hydrocarbon hydroxylases,cytochrome p 450 cyp2d6,broader
guanine nucleotide exchange factors,rasgef,broader
technology,haptic technologies,broader
epidemiologic factors,epidemiologic effect modifiers,broader
cytochrome p450 family 1,cyp1a1 protein,broader
medicine,sports medicine,broader
biomedical and dental materials,mouth rinses,broader
ejaculatory dysfunction,ejaculatio praecox,broader
vestibulocochlear nerve diseases,acoustic neurinomas,broader
acetates,thioglycollates,broader
fishes,eel,broader
otologic surgical procedures,mastoidectomies,broader
hospitals,rural hospitals,broader
drug combinations,insulin mixtures,broader
tandem repeat sequences,crispr clusters,broader
therapeutics,olfactory training,broader
allergens,allergoid,broader
anions,vanadates,broader
ribonucleoproteins,hnrnp,broader
arthropod antennae,antennal sensillum,broader
behavior,animal behaviors,broader
nursing care,disaster nursing,broader
lissencephaly,cobblestone lissencephaly,broader
histamine antagonists,histamine h3 blockers,broader
hematopoietic stem cells,hemogenic endothelium,broader
nucleotide deaminases,deoxycytidylate aminohydrolase,broader
inverted repeat sequences,crispr clusters,broader
respiratory tract infections,pulmonary parasitic infection,broader
emotions,emotional fatigue,broader
amdovirus,aleutian mink disease virus,broader
maxillofacial injuries,jaw fractures,broader
health promotion,weight loss programs,broader
hypertriglyceridemia,mixed hyperlipemias,broader
intensive care units,pediatric intensive care unit,broader
cell physiological phenomena,trogocytosis,broader
s100 proteins,s100a7 protein,broader
endolymphatic hydrops,ménière diseases,broader
public health practice,mass screening,broader
food,specialized food,broader
brain injuries,traumatic epilepsies,broader
chromosome aberrations,uniparental disomies,broader
polymers,plastic,broader
methylhydrazines,methylhydrazine,broader
naphthoquinones,vitamin k 3,broader
multienzyme complexes,multicatalytic endopeptidase complex,broader
skull,occipital bones,broader
psychotherapy,psychosocial interventions,broader
terminal care,hospice care,broader
psychological tests,behavioral rating scale,broader
karyotype,abnormal karyotype,broader
membrane proteins,schwannomin protein,broader
health facilities,gym,broader
nonverbal communication,face expression,broader
interleukins,interleukin 3,broader
disease attributes,neglected disease,broader
religious philosophies,mysticisms,broader
b7 antigens,b7 h1 antigen,broader
plant physiological phenomena,plant developments,broader
unconsciousness,posttraumatic unawareness states,broader
retinitis pigmentosa,kearn sayre mitochondrial cytopathy,broader
togaviridae,rubiviruses,broader
radiotherapy,radioisotope brachytherapy,broader
intracranial hemorrhages,cranial epidural hematomas,broader
acid anhydride hydrolases,samhd1 dntpase,broader
nursing care,occupational health nursings,broader
carpal bones,scaphoid bones,broader
timolol,brimonidine tartrate timolol maleate drug combination,broader
desoxycorticosterone,desoxycorticosterone acetate,broader
asteraceae,cichorium intybus,broader
neural cell adhesion molecules,l1 cell adhesion molecule,broader
colorectal neoplasms,colon neoplasm,broader
autonomic pathways,cranial nerve x,broader
lymphoid tissue,pharyngeal tonsil,broader
publishing,publication bias,broader
bivalvia,dreissena,broader
nail diseases,pelvic horn syndrome,broader
social theory,life course perspectives,broader
health services,medical mistakes,broader
pharmaceutical preparations,patent medicines,broader
rectal diseases,rectocele,broader
exercise therapy,stretch shortening cycle exercise,broader
cat diseases,feline acquired immunodeficiency syndrome,broader
biological phenomena,organelle biogenesis,broader
apraxias,gait apraxia,broader
pelvic bones,acetabulum,broader
dental health services,dental care,broader
panniculitis,lupus panniculitides,broader
virus diseases,central nervous system viral diseases,broader
yeasts,torulaspora,broader
family relations,maternal deprivations,broader
cranial nerves,cranial nerve x,broader
delivery of health care,needs assessment,broader
malvaceae,adansonia,broader
parasympathetic nervous system,cranial nerve x,broader
psychotherapy,mesmerism,broader
physical examination,joint flexibility,broader
paraphilic disorders,psychiatric fetishism,broader
positive transcriptional elongation factor b,cyclin dependent kinase 9,broader
connective tissue diseases,marchesani syndrome,broader
lipid droplet associated proteins,plin proteins,broader
tranquilizing agents,neuroleptics,broader
gene expression profiling,subtractive hybridization technique,broader
ribosomes,mitoribosome,broader
bacterial infections,bacterial zoonotic infections,broader
osmoregulation,water electrolyte balance,broader
diagnostic imaging,whole body imaging,broader
chaperonins,type i chaperonins,broader
ion channels,potassium ion channel,broader
guanosine diphosphate,gdp sugars,broader
pyridinium compounds,1 methyl 4 phenylpyridine,broader
hydrobromic acid,bromides,broader
multiple endocrine neoplasia,men 3,broader
apansporoblastina,encephalitozoon,broader
medicine,aerospace medicine,broader
mortality,fatal outcomes,broader
elav proteins,huc paraneoplastic encephalomyelitis antigen,broader
health services research,needs assessment,broader
cholestasis,extrahepatic biliary stasis,broader
fanconi anemia complementation group proteins,partner and localizer of brca2 protein,broader
bordetella,bacillus bronchisepticus,broader
calorimetry,indirect calorimetry,broader
nervous system physiological phenomena,organoleptic,broader
mucopolysaccharidoses,polydystrophic dwarfism,broader
fibrocartilage,triangular fibrocartilage,broader
exercise therapy,constrained movement therapy,broader
pyrrolidinones,pyramem,broader
hospital departments,emergency hospital service,broader
equipment design,user centered design,broader
gammaretrovirus,murine leukemia viruses,broader
amphetamines,hydroxyamfetamine,broader
coup transcription factors,coup tfi protein,broader
diverticulum,meckel diverticulum,broader
nervous system diseases,willis ekbom syndrome,broader
saccharomycetales,torulaspora,broader
connective tissue cells,chondroblasts,broader
lagovirus,rabbit hemorrhagic disease virus,broader
investigative techniques,whole body imaging,broader
urogenital neoplasms,veterinary venereal tumor,broader
neuropsychological tests,luria nebraska neuropsychological battery,broader
nasopharynx,pharyngeal tonsil,broader
organization and administration,fee schedule,broader
genetic phenomena,rna lesion,broader
ileum,meckel diverticulum,broader
adenine nucleotides,adenylpyrophosphate,broader
lewis blood group antigens,lewis x related antigens,broader
bacterial toxins,bt toxin,broader
adenoma,sweat gland adenoma,broader
insemination,eutelegeneses,broader
organelle size,cell nucleus sizes,broader
pentacyclic triterpenes,lupane type triterpenes,broader
puerperal disorders,pubic symphysis diastases,broader
diabetes mellitus,diabetes mellitus complication,broader
glycogen storage disease,limit dextrinoses,broader
miosis,bernard syndromes,broader
pathologic processes,shock,broader
coloring agents,hair colorants,broader
autonomic nervous system diseases,bernard syndromes,broader
cell differentiation,neurogeneses,broader
ostomy,sclerostomies,broader
socioeconomic factors,educational levels,broader
scrophulariaceae,mulleins,broader
glioma,dipg brain tumor,broader
drug administration routes,drug instillations,broader
simplexvirus,bovine herpesvirus 2,broader
social problems,syringe sharing,broader
rna,archaeal rna,broader
diagnostic techniques and procedures,neurological diagnostic technique,broader
skin,dermis,broader
emergency medical services,emergency hospital service,broader
cholecystokinin,cholecystokinin octapeptide,broader
tumor necrosis factors,trail protein,broader
mitosporic fungi,chrysosporium,broader
radio waves,micro waves,broader
personnel staffing and scheduling,shift work schedule,broader
chromaffin system,ecl cell,broader
virtual reality,haptic technologies,broader
anesthesia,cardiothoracic anesthesia,broader
motion sickness,space motion sickness,broader
hearing loss,sudden hearing loss,broader
central nervous system infections,central nervous system viral diseases,broader
amines,phenylamine,broader
surgical flaps,free tissue flaps,broader
optic nerve diseases,optic ischaemic neuropathy,broader
persons,enslaved persons,broader
health services,nursing service,broader
barbiturates,phenobarbitone,broader
hematologic agents,anticoagulation agents,broader
musculoskeletal physiological phenomena,joint flexibility,broader
neurosciences,social neuroscience,broader
physical therapy modalities,orofacial myotherapy,broader
mandible,mental foramen,broader
patient care,patient handling,broader
cytochrome a group,cytochrome a 1,broader
nuclear proteins,partner and localizer of brca2 protein,broader
obesity,abdominal obesities,broader
liver diseases,chiari syndrome,broader
peptide synthases,glutathione synthetase,broader
mitochondria,mitoribosome,broader
peroxides,t butylhydroperoxide,broader
rubiaceae,psychotria,broader
dna replication,endoreduplication,broader
adenosine triphosphatases,muts proteins,broader
infarction,liver infarctions,broader
health promotion,weight reduction programs,broader
leg bones,knee caps,broader
salaries and fringe benefits,family leave,broader
secretoglobins,clara cell specific protein,broader
genetic phenomena,sympatric species,broader
connexins,gjd2 protein,broader
genetic variation,antibody diversities,broader
anions,bromides,broader
otorhinolaryngologic neoplasms,acoustic neurinomas,broader
yeasts,pityrosporum,broader
rna recognition motif proteins,hnrnp,broader
pregnenediones,hydrocortisone,broader
polyisoprenyl phosphate monosaccharides,mannolipid,broader
Optics,Optical microscopy,broader
Metals,Erbium,broader
Production,Production engineering,broader
Control systems,Decentralized control,broader
Chemical elements,Lutetium,broader
Numerical analysis,Convergence of numerical methods,broader
Medical treatment,Cancer treatment,broader
Production,Embossing,broader
Integrated circuits,Analog integrated circuits,broader
Testing,Materials testing,broader
Optics,Optical pulses,broader
Power systems,Energy Internet,broader
Mathematics,Equations,broader
Management,Building management systems,broader
Geoscience,Wetlands,broader
Management,Asset management,broader
Computer applications,Scientific computing,broader
Mathematics,Quaternions,broader
Medical treatment,Electroporation,broader
Geoscience,Biosphere,broader
Measurement,Mechanical variables measurement,broader
Integrated circuits,Microprocessors,broader
Mechanical factors,Deformation,broader
Mechanical products,Needles,broader
Medical treatment,Anesthesia,broader
Materials,Building materials,broader
Measurement,Calorimetry,broader
Antennas,UHF antennas,broader
Measurement,Key performance indicator,broader
Algorithms,Change detection algorithms,broader
Measurement,Accelerometers,broader
Communication systems,Visual communication,broader
Physics,String theory,broader
Imaging,Stereo vision,broader
Industries,Metals industry,broader
Magnetics,Magnetic losses,broader
Production,Mechanical products,broader
Brain,Brainstem,broader
Management,Dependability management,broader
Algorithms,Maximum likelihood detection,broader
Robots,Evolutionary robotics,broader
Image processing,Saliency detection,broader
Physics,Mechanical factors,broader
Circuits,VHF circuits,broader
Mathematics,Harmonic analysis,broader
Mechanical products,Tires,broader
Mathematics,Uncertain systems,broader
Communication systems,Microwave communication,broader
Statistics,Mixture models,broader
Materials,Magnetic materials,broader
Communication systems,MISO communication,broader
Metals,Zinc,broader
Sensors,Intelligent sensors,broader
Testing,Integrated circuit testing,broader
Chemical elements,Titanium,broader
Medical conditions,Hemorrhaging,broader
Software,Software agents,broader
Biology,Genetics,broader
Computer networks,Intserv networks,broader
Semiconductor devices,Semiconductor device modeling,broader
Power systems,Transformers,broader
Nanotechnology,Nanopackaging,broader
Mathematics,Computational efficiency,broader
Control systems,Admittance control,broader
